res_hall,remaining,total,num_picks
Olney House,5,7,12
Littlefield Hall,24,24,12
Pass,75,77,12
Emery,0,19,12
Drop to 215,1,1,12
Drop to 139,0,1,12
Drop to 554,1,1,12
Grad Center d,2,2,12
New Pembroke #1,17,17,12
Drop to 398,1,1,12
Drop to 692,1,1,12
Gregorian Quad B,25,53,12
Drop to 377,1,1,12
Drop to 145,0,1,12
Drop to 441,2,2,12
Barbour Hall Apartments,23,27,12
Drop to 415,3,3,12
Grad Center C,17,17,12
Drop to 394,1,1,12
Drop to 261,1,1,12
315 Thayer,1,19,12
Sears House,12,16,12
Diman House,12,12,12
Drop to 564,1,1,12
Marcy House,14,14,12
Machado,3,12,12
Drop to 587,1,1,12
Drop to 474,1,1,12
Drop to 304,1,1,12
Drop to 617,1,1,12
Caswell Hall,44,44,13
Drop to 414,1,1,13
Harkness House,9,9,13
Hegeman,20,24,13
Drop to 29,0,1,13
Goddard House,12,30,13
Morriss Hall,4,4,13
Young Orchard #4,9,13,13
Young Orchard #2,4,12,13
Hope College,39,39,13
Grad center D,1,1,13
New Pembroke #3,0,9,13
Drop to 488,1,1,13
Grad Center D,92,102,13
No Show,53,62,13
Woolley,1,27,13
Champlin,0,5,13
New Pembroke #4,1,21,13
Drop to 179,0,3,13
Drop to 365,1,1,13
Plantations House,5,9,13
Grad Center B,17,17,13
Drop to 151,0,1,13
Drop to 402,1,1,13
Slater Hall,14,21,13
Drop to 284,1,1,13
Drop to 413,1,1,13
Drop to 421,1,1,13
Chapin House,14,15,13
Gregorian Quad A,53,76,13
Young Orchard #10,10,10,13
Drop to 248,1,1,13
Grad Center A,16,16,13
Barbour Hall,13,14,13
111 Brown Street,6,6,13
Minden,43,55,13
Olney House,5,7,13
Littlefield Hall,24,24,13
Pass,75,77,13
Emery,0,19,13
Drop to 215,0,1,13
Drop to 139,0,1,13
Drop to 554,1,1,13
Grad Center d,2,2,13
New Pembroke #1,17,17,13
Drop to 398,1,1,13
Drop to 692,1,1,13
Gregorian Quad B,25,53,13
