room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
Caswell Hall 204,538,560,543,597,531,556,517,604
Caswell Hall 205,529,561,0,579,531,530,517,608
Caswell Hall 203,0,0,0,0,0,0,0,604
Caswell Hall 201,538,493,521,579,526,519,536,604
Goddard House 233,0,0,172,0,0,0,0,0
Goddard House 232,0,0,172,443,250,355,128,701
Goddard House 231,0,0,171,0,250,324,195,625
Goddard House 230,0,0,0,0,268,274,138,663
Goddard House 236,0,0,316,0,0,0,0,0
Goddard House 235,0,0,353,0,0,0,0,0
Goddard House 234,0,0,213,0,0,0,0,0
Young Orchard #10 110,233,275,287,162,197,127,339,327
Barbour Hall Apartments 340,43,65,60,72,101,147,126,601
Caswell Hall 112,570,567,573,597,574,565,548,633
Young Orchard #4 220,0,0,132,196,108,265,215,111
Caswell Hall 111,500,494,475,0,0,503,485,629
Grad Center D 110,606,604,632,581,589,639,0,0
Minden 712,404,557,615,626,629,585,608,668
Grad Center D 112,0,0,0,0,0,0,264,312
Grad Center D 113,0,0,0,0,0,0,253,332
Grad Center D 114,0,0,0,0,0,0,0,383
Grad Center D 115,0,0,0,0,0,0,253,332
Minden 715,88,130,72,131,208,40,96,109
Sears House 317,625,683,0,639,0,619,629,659
Diman House 221,534,568,521,560,498,645,523,651
Sears House 314,625,678,0,651,0,619,629,702
Diman House 224,468,0,0,0,471,473,0,0
Sears House 312,292,252,0,420,0,257,0,0
Sears House 311,249,0,0,0,0,0,0,0
Sears House 310,267,161,0,372,0,239,0,0
Metcalf 418,289,0,242,196,0,0,0,0
Metcalf 419,289,0,174,231,0,0,0,0
Goddard House 304,641,0,605,638,0,665,596,0
Goddard House 303,360,0,349,242,0,0,111,0
Goddard House 302,641,0,629,638,0,0,596,0
Goddard House 301,641,0,629,638,0,0,617,0
Metcalf 410,200,0,263,251,0,0,0,0
Metcalf 411,200,46,256,38,0,0,0,0
Metcalf 412,271,0,225,201,0,0,0,0
Metcalf 413,289,0,263,208,0,0,0,0
Metcalf 414,301,0,278,283,0,0,0,0
Metcalf 416,179,0,221,75,0,0,0,0
Goddard House 308,566,663,472,638,475,653,596,0
New Pembroke #3 302,0,0,0,0,0,0,0,723
Grad center A 331,0,0,0,0,0,0,0,329
Grad center A 333,0,0,0,0,0,0,0,329
Grad center A 332,0,0,0,0,0,0,0,329
Grad center A 335,0,0,0,0,0,0,0,334
Grad center A 334,0,0,0,0,0,0,0,236
Mead House 203,327,0,0,0,0,0,0,0
Mead House 204,327,413,621,557,414,454,0,0
Woolley 416,0,329,329,422,329,154,116,0
Woolley 415,456,354,329,373,305,154,141,0
Machado 315,0,0,0,630,0,0,0,0
Woolley 419,438,354,329,351,305,314,61,0
Woolley 418,438,354,329,351,253,154,85,0
Woolley 329,455,140,207,323,203,0,85,0
Woolley 323,377,384,337,412,329,0,148,0
Olney House 224,345,0,214,306,0,0,0,0
Emery 120,429,260,10,24,51,171,35,0
New Pembroke #4 421,626,444,638,461,366,354,0,694
New Pembroke #4 423,630,444,638,461,346,354,182,694
New Pembroke #4 425,592,444,433,461,365,354,156,667
New Pembroke #4 427,592,259,442,482,366,139,181,667
New Pembroke #4 426,593,447,638,461,366,367,197,667
Marcy House 321,602,664,618,634,624,532,605,0
Marcy House 325,602,542,598,652,629,667,618,0
Marcy House 328,0,0,0,391,0,0,0,0
Marcy House 329,0,0,0,380,0,0,0,0
Wayland House 301,0,0,0,0,0,0,0,645
Wayland House 303,0,0,0,0,0,0,0,645
Wayland House 304,89,296,262,254,179,233,0,0
Wayland House 305,0,0,0,0,0,0,0,645
Wayland House 307,0,0,0,0,0,0,0,646
King House 107,653,0,0,0,0,0,0,0
315 Thayer 210,0,0,0,0,0,0,0,49
King House 103,653,0,0,0,0,0,0,0
Chapin House 114B,0,318,218,431,310,280,0,0
Chapin House 114A,0,403,218,431,304,0,0,0
Marcy House 219,645,676,642,652,637,0,605,744
Marcy House 215,242,0,128,0,0,0,0,674
Marcy House 213,175,0,0,0,0,0,0,0
Marcy House 210,0,0,0,0,0,0,0,674
New Pembroke #4 201,0,0,0,0,0,0,0,720
Grad Center D 341,0,0,0,0,0,0,222,214
New Pembroke #4 203,0,0,0,0,0,0,0,685
New Pembroke #4 205,0,0,0,0,0,0,0,685
West Andrews 459,77,199,205,188,74,92,0,0
New Pembroke #4 207,0,0,0,0,0,0,0,685
New Pembroke #4 209,582,405,413,337,330,122,85,557
West Andrews 455,0,160,154,25,107,92,0,0
