room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
315 Thayer 420,0,0,0,0,0,0,24,25
Woolley 109,0,0,0,0,0,430,232,0
New Pembroke #1 415,657,538,659,659,619,0,0,456
Archibald House 127,433,405,499,0,0,0,0,0
Woolley 107,439,345,295,282,0,0,0,0
Woolley 106,351,345,356,0,0,0,127,0
Emery 417,424,370,91,422,178,299,103,0
Emery 411,424,370,318,375,313,299,103,0
315 Thayer 330,0,0,0,0,0,0,59,0
West Andrews 305,161,16,0,96,91,72,0,0
West Andrews 307,107,180,250,106,91,118,0,0
West Andrews 301,161,57,234,169,0,72,0,0
West Andrews 303,148,57,179,10,57,72,0,0
Hope College 314,211,25,344,99,35,174,460,560
Hope College 317,0,0,0,0,0,0,588,0
Emery 309,427,342,318,0,0,0,0,0
Hope College 312,0,0,0,0,0,0,505,560
Emery 301,427,328,0,447,254,297,163,0
Hope College 319,0,0,0,0,0,0,550,0
Emery 304,427,329,94,0,0,0,0,0
Archibald House 306,241,356,384,526,391,0,0,0
Bronson House 319,0,534,0,635,0,0,0,0
Archibald House 304,389,341,384,419,391,409,0,0
Archibald House 305,293,0,0,0,0,0,0,0
Archibald House 302,389,341,384,419,399,435,0,0
Archibald House 303,393,341,397,419,399,393,0,0
Archibald House 301,393,341,0,419,380,0,0,0
Bronson House 313,420,410,0,0,0,0,0,0
Machado 37,0,0,0,604,0,235,157,0
