score,room,rank,occupancy
17.062408951099108,Emery 104,636,1
17.063420439437731,Grad Center D 113,637,1
17.063420439437731,Grad Center D 115,638,1
17.077321739907575,Gregorian Quad B 104,639,4
17.077352337819306,Hegeman B204,640,3
17.087318917177765,Woolley 419,641,1
17.088007490635061,Grad Center d 442,642,1
17.11701845000583,Grad Center D 533,643,1
17.11724276862369,Archibald House 305,644,1
17.151588373329453,Sears House 306B,645,1
17.170465035046572,Goddard House 231,646,1
17.179440642447101,Woolley 319,647,1
17.193042318882625,Hope College 414,648,1
17.213801427330132,Machado 33,649,1
17.219138073728647,Gregorian Quad B 105,650,4
17.228615954583944,Goddard House 212,651,1
17.241267857245884,Gregorian Quad B 103,652,5
17.250381022610082,Hegeman A301,653,3
17.262676501632068,Grad Center D 446,654,1
17.267945484305571,Woolley 215,655,1
17.271244318457789,Gregorian Quad A 211,656,4
17.27657923279676,New Pembroke #2 104,657,1
17.284551820361202,Emery 409,658,1
17.289090863563047,Grad Center D 244,659,1
17.290289880278547,Hegeman A203,660,3
17.318365312472178,Hegeman B107,661,3
17.319454630466858,Grad Center C 110,662,4
17.33561471794237,Gregorian Quad A 403,663,4
17.349194413891919,Emery 311,664,1
