res_hall,remaining,total,num_picks
Olney House,16,16,8
Young Orchard #10,12,12,8
Fake Building,18,19,8
Littlefield Hall,16,16,8
Machado House,11,11,8
Pass,48,49,8
Drop to 370,1,1,8
Drop to 720,1,1,8
Drop to 312,1,1,8
Drop to 493,1,1,8
Drop to 491,1,1,8
Drop to 217,1,1,8
New Pembroke #1,5,14,8
Wayland House,19,19,8
Drop to 162,0,1,8
Drop to 741,1,1,8
Drop to 459,2,2,8
Drop to 164,1,1,8
Drop to 515,1,1,8
Drop to 257,1,1,8
Barbour Hall Apartments,29,29,8
Minden,46,57,8
Grad Center C,15,15,8
Drop to 483,1,1,8
Plantations House,9,9,8
315 Thayer,1,13,8
Sears House,14,14,8
Diman House,13,13,8
Drop to 533,1,1,8
Drop to 454,1,1,8
Marcy House,18,18,8
Drop to 473,1,1,8
Hope College,38,38,8
Caswell Hall,46,46,9
Harkness House,14,14,9
Drop to 22,0,1,9
Hegeman,22,31,9
Drop to 316,1,1,9
Perkins Hall,67,67,9
Goddard House,22,22,9
Young Orchard #4,5,12,9
Young Orchard #2,2,11,9
Drop to 329,1,1,9
New Pembroke #3,36,36,9
New Pembroke #2,3,16,9
Grad Center D,95,108,9
No Show,90,95,9
Grad Center B,18,18,9
Drop to 134,0,1,9
New Pembroke #4,49,49,9
Drop to 97,0,1,9
Drop to 178,1,1,9
Drop to 295,1,1,9
Drop to 508,1,1,9
Drop to 509,1,1,9
Drop to 157,1,1,9
Drop to 121,0,1,9
Slater Hall,16,21,9
Drop to 702,1,1,9
Drop to 421,1,1,9
Chapin House,6,6,9
Gregorian Quad A,51,76,9
Drop to 462,1,1,9
Gregorian Quad B,24,53,9
Barbour Hall,16,16,9
111 Brown Street,6,6,9
Grad center A,75,83,9
Olney House,16,16,9
Young Orchard #10,11,12,9
Fake Building,18,19,9
Littlefield Hall,16,16,9
Machado House,11,11,9
Pass,48,49,9
Drop to 370,1,1,9
Drop to 720,1,1,9
Drop to 312,1,1,9
Drop to 493,1,1,9
Drop to 491,1,1,9
Drop to 217,1,1,9
New Pembroke #1,5,14,9
Wayland House,19,19,9
Drop to 162,0,1,9
Drop to 741,1,1,9
Drop to 459,2,2,9
Drop to 164,1,1,9
Drop to 515,1,1,9
Drop to 257,1,1,9
Barbour Hall Apartments,29,29,9
Minden,41,57,9
Grad Center C,15,15,9
Drop to 483,1,1,9
Plantations House,9,9,9
315 Thayer,0,13,9
Sears House,14,14,9
Diman House,13,13,9
Drop to 533,1,1,9
Drop to 454,1,1,9
Marcy House,18,18,9
Drop to 473,1,1,9
Hope College,38,38,9
Caswell Hall,46,46,10
Harkness House,14,14,10
Drop to 22,0,1,10
Hegeman,21,31,10
Drop to 316,1,1,10
Perkins Hall,67,67,10
Goddard House,22,22,10
Young Orchard #4,4,12,10
Young Orchard #2,2,11,10
Drop to 329,1,1,10
New Pembroke #3,36,36,10
New Pembroke #2,3,16,10
Grad Center D,89,108,10
No Show,89,95,10
Grad Center B,18,18,10
Drop to 134,0,1,10
New Pembroke #4,49,49,10
Drop to 97,0,1,10
Drop to 178,1,1,10
Drop to 295,1,1,10
Drop to 508,1,1,10
Drop to 509,1,1,10
Drop to 157,0,1,10
Drop to 121,0,1,10
Slater Hall,16,21,10
Drop to 702,1,1,10
Drop to 421,1,1,10
Chapin House,6,6,10
Gregorian Quad A,51,76,10
Drop to 462,1,1,10
Gregorian Quad B,24,53,10
Barbour Hall,16,16,10
111 Brown Street,6,6,10
Grad center A,75,83,10
